Reserve(s),Band Combination,Maire Weight,Learning Rate,Loss Function,mIoU,Maire Precision,Maire Recall,Maire F1,Maire IoU,Num Reserves,Aggregation
KAU_ESK_BUS_HAM,IND_ABS,10,0.02,BCEDICE,0.5221236357932868,0.23363504349418193,0.20102139222309284,0.216104660027761,0.12114200915244377,4.0,micro
KAU_ESK_BUS_HAM,IND_ABS,1,0.02,DICE,0.3930188126168666,0.0870312011085771,0.472357511539156,0.14698130268814746,0.07931992577156546,4.0,micro
KAU_ESK_BUS_HAM,IND_ABS,50,0.02,BCEDICE,0.4331818652526406,0.11555218457304978,0.5165369708805858,0.18885618884215977,0.10427454240687306,4.0,micro
BUS,IND_REL,10,0.02,BCEDICE,0.6777014924832889,0.4850727641702931,0.9220550163481275,0.6357116698133669,0.4659657755237137,,
ESK,IND_REL,10,0.02,BCEDICE,0.588694463970877,0.35227992054656976,0.4018275072203964,0.3754259860195169,0.2310919556688336,,
HAM,IND_REL,10,0.02,BCEDICE,0.6158089388252228,0.2848676733235915,0.7958720798366976,0.4195611884976385,0.26547132697836284,,
KAU,IND_REL,10,0.02,BCEDICE,0.5345861348004434,0.8991596638655462,0.10185625892432175,0.18298418127404872,0.10070588235294117,,
KAU_ESK_BUS_HAM,MS_ABS,10,0.02,BCEDICE,0.5026186613392918,0.19627860305824268,0.10915067961399931,0.14028741467494904,0.07543500039821449,4.0,micro
KAU_ESK_BUS_HAM,MS_ABS,1,0.02,DICE,0.4926004171441118,0.1916269438149192,0.05949427741352074,0.09079842830858822,0.047558326707132656,4.0,micro
KAU_ESK_BUS_HAM,MS_ABS,50,0.02,BCEDICE,0.5016614554794847,0.17014480703941173,0.1489449455034997,0.15884062722808673,0.08627207127449231,4.0,micro
KAU_ESK_BUS_HAM,MS_ABS_RENDVI,10,0.02,BCEDICE,0.5066111439736865,0.2531471840983983,0.09732945964469031,0.14060096942681405,0.07561635314961758,4.0,micro
KAU_ESK_BUS_HAM,MS_ABS_RENDVI,1,0.02,DICE,0.4545984343011308,0.10538619960294418,0.31005683162189623,0.15730537235248726,0.08536703483148551,4.0,micro
KAU_ESK_BUS_HAM,MS_ABS_RENDVI,50,0.02,BCEDICE,0.4948548103230558,0.14666659370364904,0.16256148672007165,0.15420552183318048,0.08354425644925739,4.0,micro
BUS,MS_REL,10,0.02,BCE,0.6919530850332072,0.5517795022745517,0.7656493352449125,0.6413547314080826,0.472054587193885,,
BUS,MS_REL,10,0.02,BCEDICE,0.6935056440380073,0.5113215838652975,0.91209142574237,0.6552870168990392,0.48730623198708306,,
BUS,MS_REL,10,5e-05,BCE,0.38386659409513757,0.19393591015302375,0.9639206625890896,0.3229049873971865,0.19253827897087666,,
BUS,MS_REL,10,5e-05,BCEDICE,0.34451571329331043,0.17458209407742628,0.9680876300888059,0.2958173514830421,0.17358312604606863,,
BUS,MS_REL,1,0.02,BCE,0.452289914808516,0.0,0.0,0.0,0.0,,
BUS,MS_REL,1,0.02,BCEDICE,0.8097361948002433,0.7234424436708491,0.8938248429651481,0.7996585770969826,0.6661926030703946,,
BUS,MS_REL,1,0.02,DICE,0.8170593731953473,0.7441579756332659,0.8838818809113694,0.8080241384187449,0.6778863267808409,,
BUS,MS_REL,1,5e-05,BCE,0.4565515079591238,0.2046403835303117,0.5573834744670098,0.299369020513758,0.17603408624497535,,
BUS,MS_REL,1,5e-05,BCEDICE,0.4291509037321729,0.21026622154403848,0.8399740080245067,0.3363385935712486,0.20216769606577562,,
BUS,MS_REL,1,5e-05,DICE,0.33922622188993246,0.1679579252675107,0.924592328241519,0.2842754530895714,0.16568828230701554,,
BUS,MS_REL,50,0.02,BCE,0.6555018499913584,0.4474423375577583,0.9628273493342134,0.610960759994895,0.4398441328357646,,
BUS,MS_REL,50,0.02,BCEDICE,0.5945368609643227,0.36963108870047096,0.9851783854032367,0.5375701397448236,0.3675869553504768,,
BUS,MS_REL,50,5e-05,BCE,0.35894134012010753,0.1843532263527012,0.9993708291646468,0.3112840966955862,0.18433183230315864,,
BUS,MS_REL,50,5e-05,BCEDICE,0.3604620386483205,0.18488987660365522,0.9971120027229688,0.3119384467451087,0.1847909195868091,,
ESK,MS_REL,10,0.02,BCE,0.6479728658092477,0.6141298357764796,0.41619360621452045,0.49614888028137655,0.32991888211261766,,
ESK,MS_REL,10,0.02,BCEDICE,0.614662275529636,0.3225354138203782,0.8934369086744348,0.4739664509311848,0.3105871762913724,,
ESK,MS_REL,10,5e-05,BCE,0.43441030214533716,0.1277992644191757,0.9058111741858381,0.22399541924103475,0.12612322156585407,,
ESK,MS_REL,10,5e-05,BCEDICE,0.25311460279699877,0.06720538284202054,0.981301663180958,0.1257955379655932,0.06711943147816699,,
ESK,MS_REL,1,0.02,BCE,0.4802354969765684,0.0,0.0,0.0,0.0,,
ESK,MS_REL,1,0.02,BCEDICE,0.6823553820799161,0.6213971088183995,0.5233542475849019,0.568177210741847,0.39682090200298276,,
ESK,MS_REL,1,0.02,DICE,0.7079496209176674,0.7041814088131232,0.5450901304650931,0.6145058523030286,0.44352829156621626,,
ESK,MS_REL,1,5e-05,BCE,0.47452998654333056,0.1248847612624597,0.502539587690469,0.2000545134673043,0.11114476241870914,,
ESK,MS_REL,1,5e-05,BCEDICE,0.41413337362412667,0.11307315673836084,0.8636341001892242,0.19996541088980488,0.11108976021880394,,
ESK,MS_REL,1,5e-05,DICE,0.24396170799832204,0.06297731323798923,0.9368588785977492,0.11802104292486931,0.06271113844348782,,
ESK,MS_REL,50,0.02,BCE,0.6899944591210421,0.5031291947771211,0.7185788268100787,0.5918566140658484,0.4203099059214167,,
ESK,MS_REL,50,0.02,BCEDICE,0.7234787007917455,0.5228228812671227,0.8695100089632507,0.6530043660773552,0.4847858074904911,,
ESK,MS_REL,50,5e-05,BCE,0.2700100424307509,0.07169441303196439,0.9976097998207349,0.133774931723636,0.07168209986975999,,
ESK,MS_REL,50,5e-05,BCEDICE,0.24867912481778337,0.06714497125809991,0.9963649038940344,0.12581151223438203,0.06712852685610762,,
HAM,MS_REL,10,0.02,BCE,0.64269754434709,0.3231716825198815,0.940122476752098,0.480997969248622,0.31665393430099315,,
HAM,MS_REL,10,0.02,BCEDICE,0.6980350163375499,0.4378836923763813,0.8897709231118167,0.5869239976062238,0.415352038115405,,
HAM,MS_REL,10,5e-05,BCE,0.20590325115922894,0.02429945081736543,0.9889997731911998,0.04743347429395048,0.024292885117857124,,
HAM,MS_REL,10,5e-05,BCEDICE,0.20803653075548223,0.024344874025026653,0.984009979587208,0.047514223602144356,0.024335246984386962,,
HAM,MS_REL,1,0.02,BCE,0.4924062362213404,0.0,0.0,0.0,0.0,,
HAM,MS_REL,1,0.02,BCEDICE,0.4923519827491182,0.0,0.0,0.0,0.0,,
HAM,MS_REL,1,0.02,DICE,0.6675867106385113,0.38699575371549894,0.8268314810614652,0.5272253959071517,0.3579810477733589,,
HAM,MS_REL,1,5e-05,BCE,0.20412938527125185,0.024283826572589692,0.9941029711952823,0.04740953869534531,0.02428032894499949,,
HAM,MS_REL,1,5e-05,BCEDICE,0.20238888136741573,0.024227296895963677,0.9972782943978227,0.047305384389868664,0.024225695104448174,,
HAM,MS_REL,1,5e-05,DICE,0.2054170221149223,0.024302039635469404,0.9907008391925607,0.04744036014705642,0.024296497366210736,,
HAM,MS_REL,50,0.02,BCE,0.5982454806711548,0.24561092392268133,0.9423905647539125,0.3896651974116103,0.24197775318851553,,
HAM,MS_REL,50,0.02,BCEDICE,0.6820816991938738,0.41982693536210003,0.8198004082558403,0.5552867073779622,0.38435772011909825,,
HAM,MS_REL,50,5e-05,BCE,0.22015417234794343,0.02445012070164774,0.948741211158993,0.047671688737948165,0.024417864794027168,,
HAM,MS_REL,50,5e-05,BCEDICE,0.2051251854528011,0.024316497979646398,0.9922885007938308,0.047469727876394266,0.02431190366373442,,
KAU,MS_REL,10,0.02,BCE,0.5482513617021336,0.8517622667588113,0.13036120365963297,0.22611567215520798,0.1274692315647947,,
KAU,MS_REL,10,0.02,BCEDICE,0.49993274695203216,0.188039457459926,0.04838965571949865,0.07697160883280756,0.04002624671916011,,
KAU,MS_REL,10,5e-05,BCE,0.13730580834368794,0.039271398732473865,0.8720186154741129,0.0751580511506853,0.03904634933565084,,
KAU,MS_REL,10,5e-05,BCEDICE,0.07773275570265896,0.03873601308226048,0.9946586281664815,0.07456804611737093,0.03872795710438099,,
KAU,MS_REL,1,0.02,BCE,0.4827265851091818,0.0,0.0,0.0,0.0,,
KAU,MS_REL,1,0.02,BCEDICE,0.5752192455331231,0.8706058339566193,0.1846739647786768,0.3047120418848167,0.17974058060531192,,
KAU,MS_REL,1,0.02,DICE,0.5402542629282759,0.7691500524658972,0.11629382833571315,0.20203969128996693,0.11237160815575656,,
KAU,MS_REL,1,5e-05,BCE,0.3049799536445765,0.04555531018549976,0.5672959966153683,0.0843380598393748,0.04402554441954575,,
KAU,MS_REL,1,5e-05,BCEDICE,0.07560552818311714,0.03875446284006739,1.0,0.07461717706436319,0.03875446284006739,,
KAU,MS_REL,1,5e-05,DICE,0.08636744427197521,0.03735603109559704,0.9372256597387487,0.07184832470804778,0.03726279712780833,,
KAU,MS_REL,50,0.02,BCE,0.5575125564346347,0.44785432318859036,0.18599608651964672,0.2628353635752186,0.1513013551301355,,
KAU,MS_REL,50,0.02,BCEDICE,0.5510601856680801,0.38752127056154284,0.1806547146861283,0.2464290867118742,0.14052986671054796,,
KAU,MS_REL,50,5e-05,BCE,0.1347872510031292,0.041578296425531514,0.9351631498228357,0.07961675180041557,0.041458782706555376,,
KAU,MS_REL,50,5e-05,BCEDICE,0.0774101741599599,0.03874388002691862,0.9956105558199799,0.07458529608690656,0.03873726316482576,,
KAU_ESK_BUS_HAM,MS_REL,10,0.02,BCEDICE,0.5472823638264195,0.2720168728799424,0.3395573997233542,0.30205763932001395,0.17789628913946626,4.0,micro
KAU_ESK_BUS_HAM,MS_REL,1,0.02,DICE,0.5166429645215289,0.44115154331945183,0.09788648661764468,0.16022162237949686,0.08708745985913122,4.0,micro
KAU_ESK_BUS_HAM,MS_REL,50,0.02,BCEDICE,0.5340579920328312,0.23263317584192053,0.7479192448617633,0.35488327550342247,0.2157192098402496,4.0,micro
BUS,MS_REL_RENDVI,10,0.02,BCEDICE,0.6685436765225862,0.5391484192902399,0.6775654182954628,0.6004835532479879,0.42906502073740244,,
ESK,MS_REL_RENDVI,10,0.02,BCEDICE,0.7174239465313461,0.5117901616179458,0.865700627427547,0.6432813453960149,0.4741449844542628,,
HAM,MS_REL_RENDVI,10,0.02,BCEDICE,0.6407597393147972,0.3818500657606313,0.5926513948741211,0.46445076430856735,0.3024655631438824,,
KAU,MS_REL_RENDVI,10,0.02,BCEDICE,0.5337316184334236,0.3037061695517088,0.1447458882013856,0.1960531499588124,0.10868011435832274,,
BUS,RGB,10,0.02,BCE,0.7884520248778318,0.6824302739540733,0.8737250913807334,0.7663199533334732,0.6211658812218883,,
BUS,RGB,10,0.02,BCEDICE,0.7790040557867803,0.7416147545711484,0.7580105530008254,0.7497230239948687,0.5996455492529135,,
BUS,RGB,10,5e-05,BCE,0.5015625889343989,0.22797587218014184,0.5718112545690367,0.32598466547631555,0.19473218599223255,,
BUS,RGB,10,5e-05,BCEDICE,0.49897893102253243,0.217513194382324,0.44798299139252445,0.2928407812684412,0.17153688891773414,,
BUS,RGB,1,0.02,BCE,0.4612782160859084,0.0,0.0,0.0,0.0,,
BUS,RGB,1,0.02,BCEDICE,0.7552262864075671,0.6217302325581395,0.8619487678339819,0.7223929269565593,0.5654265244757273,,
BUS,RGB,1,0.02,DICE,0.7668475265370065,0.6389387060464565,0.8742888515505247,0.7383119408790355,0.5851778777976447,,
BUS,RGB,1,5e-05,BCE,0.4850958237609859,0.18450123329029794,0.13532823369885627,0.15613461918618862,0.08467788419416866,,
BUS,RGB,1,5e-05,BCEDICE,0.49024461681412357,0.20276430548906144,0.14357092324018395,0.16810913891741236,0.09176809737347853,,
BUS,RGB,1,5e-05,DICE,0.48898056377614363,0.1902348951279746,0.2463705636127815,0.21469396405016794,0.12025611280474097,,
BUS,RGB,50,0.02,BCE,0.6859972212243084,0.4973917460648254,0.8442584895649098,0.6259861074114296,0.4555893581484133,,
BUS,RGB,50,0.02,BCEDICE,0.7030790625565062,0.523924815103459,0.859557392996109,0.6510288973139968,0.4826114481012239,,
BUS,RGB,50,5e-05,BCE,0.44982542060431435,0.20446210294475073,0.902012586959085,0.3333603418046879,0.20001944641450606,,
BUS,RGB,50,5e-05,BCEDICE,0.4551707160512709,0.2069481084515407,0.8833421766301144,0.33533453442699995,0.20144259694338848,,
ESK,RGB,10,0.02,BCE,0.6955772030321254,0.5191748353675751,0.7174548159976772,0.6024188172554994,0.43104388116653036,,
ESK,RGB,10,0.02,BCEDICE,0.6654482375577306,0.4458918397559553,0.7214469768454671,0.5511464456027504,0.38040176243487744,,
ESK,RGB,10,5e-05,BCE,0.4361353969520551,0.128815379281784,0.8664077810844161,0.22428466574674852,0.12630665592639476,,
ESK,RGB,10,5e-05,BCEDICE,0.4428874858004145,0.13250994876281982,0.8574072729912172,0.22954443324386364,0.1296527501474886,,
ESK,RGB,1,0.02,BCE,0.479556920702754,0.0,0.0,0.0,0.0,,
ESK,RGB,1,0.02,BCEDICE,0.6308508312761992,0.8050496401379278,0.3156256804819627,0.4534664693958691,0.2932147673634525,,
ESK,RGB,1,0.02,DICE,0.6916533733154036,0.4608329783211193,0.8735029396820788,0.6033547562271057,0.4320028718224855,,
ESK,RGB,1,5e-05,BCE,0.50493662721102,0.1458769261274988,0.2536473833200261,0.18522677956780859,0.10206607496869306,,
ESK,RGB,1,5e-05,BCEDICE,0.5705405497452897,0.29995746965355197,0.39034259998548304,0.3392327010798642,0.20426263288086183,,
ESK,RGB,1,5e-05,DICE,0.48584591945738054,0.13136082556333661,0.4190135733468825,0.200016457982338,0.11112127045235803,,
ESK,RGB,50,0.02,BCE,0.6634574691347207,0.41133467150265385,0.8571350802061407,0.5558971763812842,0.38494293293346316,,
ESK,RGB,50,0.02,BCEDICE,0.7067415079023631,0.5129227665739655,0.7982144153298977,0.6245301435746358,0.45404858613019267,,
ESK,RGB,50,5e-05,BCE,0.40325428052427964,0.11287847552325231,0.9016748929375046,0.20063939561265992,0.11150594001193836,,
ESK,RGB,50,5e-05,BCEDICE,0.4387420953946122,0.1263787945980911,0.8118784931407418,0.2187123439680689,0.1227832816487829,,
HAM,RGB,10,0.02,BCE,0.6119710935730258,0.312874183081212,0.5365414005250989,0.39525988366218734,0.24630772275090396,,
HAM,RGB,10,0.02,BCEDICE,0.565845949713158,0.2188796434582652,0.36180884830910304,0.2727541283861629,0.15791274008448922,,
HAM,RGB,10,5e-05,BCE,0.4648624079596443,0.04130204703270606,0.313491907990125,0.07298803908509494,0.03787627714071984,,
HAM,RGB,10,5e-05,BCEDICE,0.45980577980982207,0.029160174090591587,0.21266507308280105,0.05128786697475299,0.02631885238746472,,
HAM,RGB,1,0.02,BCE,0.49323812279541446,0.0,0.0,0.0,0.0,,
HAM,RGB,1,0.02,BCEDICE,0.5984543853596502,0.2723741424292202,0.5522943689016028,0.36482708635328226,0.22311223682127593,,
HAM,RGB,1,0.02,DICE,0.6324430900138287,0.31537465078894383,0.791841373094557,0.45108938298062323,0.2912300929595734,,
HAM,RGB,1,5e-05,BCE,0.4823803568700109,0.023648477478846835,0.07316117402719542,0.035743344788306354,0.018196881091617934,,
HAM,RGB,1,5e-05,BCEDICE,0.4784452288213,0.024562728330305938,0.09432187781652886,0.03897565438455871,0.019875150694432978,,
HAM,RGB,1,5e-05,DICE,0.45056823281895814,0.01795289571783839,0.13946471256710685,0.031810868787987126,0.01616250607399603,,
HAM,RGB,50,0.02,BCE,0.569988661398841,0.20000978641156753,0.640699086954818,0.30485246818626766,0.17983831050981686,,
HAM,RGB,50,0.02,BCEDICE,0.6054484495295478,0.29119091530762375,0.5506485363846546,0.38093689004554326,0.23528229857343783,,
HAM,RGB,50,5e-05,BCE,0.4085185805322159,0.03595640794902456,0.5809005055057016,0.0677210390227412,0.035047237169363456,,
HAM,RGB,50,5e-05,BCEDICE,0.421136288531295,0.0326278033528057,0.4502135663623183,0.06084598641040987,0.03137759351964889,,
KAU,RGB,10,0.02,BCE,0.5122484489644479,0.7000846740050805,0.08411157907587133,0.15017982344607114,0.08118617439120189,,
KAU,RGB,10,0.02,BCEDICE,0.5941453869952189,0.4208938619199418,0.40027264033856236,0.41032432996141416,0.25811826757809936,,
KAU,RGB,10,5e-05,BCE,0.5031366181884774,0.19077289904624797,0.17255691875724838,0.1812082687890604,0.09963112635684414,,
KAU,RGB,10,5e-05,BCEDICE,0.49523517294165054,0.16593551981059815,0.2424260920873263,0.19701704780329712,0.10927282898779336,,
KAU,RGB,1,0.02,BCE,0.47037217881944443,0.0,0.0,0.0,0.0,,
KAU,RGB,1,0.02,BCEDICE,0.5801172855889465,0.6731234866828087,0.23756332783983397,0.3511842995713963,0.21299184589284736,,
KAU,RGB,1,0.02,DICE,0.6163142215121706,0.4450524653052014,0.48153573826527496,0.4625758597437626,0.30087719298245613,,
KAU,RGB,1,5e-05,BCE,0.42146511575153484,0.044170501207987226,0.10527172475533582,0.062230133625199954,0.032114305576245096,,
KAU,RGB,1,5e-05,BCEDICE,0.49353406373917796,0.16991813007882642,0.11359335896966367,0.13616076872423966,0.07305392355704435,,
KAU,RGB,1,5e-05,DICE,0.42312114355083064,0.053695785961843684,0.13491627500050865,0.07681836875365644,0.039943376905005726,,
KAU,RGB,50,0.02,BCE,0.5230020057215043,0.233728539262595,0.27034120734908135,0.2507052086379803,0.14331787293711573,,
KAU,RGB,50,0.02,BCEDICE,0.6136633706289878,0.6478070703422816,0.328470569085841,0.4359119751586337,0.2787004108690398,,
KAU,RGB,50,5e-05,BCE,0.4880790957027989,0.15274368320563367,0.2506663411259639,0.18982027163404133,0.10486266565662584,,
KAU,RGB,50,5e-05,BCEDICE,0.5056152095592651,0.19714032015800437,0.483346558424383,0.2800556433169075,0.1628283160607556,,
KAU_ESK_BUS_HAM,RGB,10,0.02,BCEDICE,0.59343865548382,0.31343574800197405,0.8062378911009825,0.45138827133643455,0.29147930897597285,4.0,micro
KAU_ESK_BUS_HAM,RGB,1,0.02,DICE,0.63584221650499,0.449475273514447,0.5565403396189903,0.49731060953690387,0.33094704685644444,4.0,micro
KAU_ESK_BUS_HAM,RGB,50,0.02,BCEDICE,0.6319822610360737,0.39080507901716505,0.7158978337672655,0.5056036335202303,0.3383330226006221,4.0,micro
